toxic,detox
Сифилис элэктерэм но кут сегэм,Сифилис элэктерэм но кут сегэм
Кут юа а Син кул,Кут юа а Син кул
"Чистый тычкак малай булдын инде, гаршок алып куй, тычасын килсэ","Чистый тычкак малай булдын инде, гаршок алып куй, тычасын килсэ"
"тубэтэенне сал сука, бисмиллахи. хэзер кутак кабасын","тубэтэенне сал сука, бисмиллахи. хэзер ямьсез сүз кабасын"
Ач карга блэт,Ач карга блэт
Куерга нехуй,Куерга нехуй
авызынны сегиим. мин бит сексэн киламитыр чабам икэн биит,авызынны сегиим. мин бит сексэн киламитыр чабам икэн биит
борынын кутагым да ис сизми икэн синен бубик.,борынын кутагым да ис сизми икэн синен бубик.
"Кутагыма дип берьюлы бишне атасыңмы,эт ташагы","Кутагыма дип берьюлы бишне атасыңмы,эт ташагы"
Бәтәк авыз малчи дип акырдылар кутак башлар.,Бәтәк авыз малчи дип акырдылар ямьсез сүз башлар.
авызынны салып сегиииим. кайлардан жыелып беткэн халык буу. кутак калган мени боларга ☝,авызынны салып сегиииим. кайлардан жыелып беткэн халык буу. ямьсез сүз калган мени боларга ☝
Арган чепи хули срогы чога картая покойда тотсан рэхмэткенэ эйтэчэк,Арган чепи хули срогы чога картая покойда тотсан рэхмэткенэ эйтэчэк
"Кутакбашлар,бердэ чэйнэми эле,тора почмакта","ямьсез сүз,бердэ чэйнэми эле,тора почмакта"
Бэтэгенэ тибим шытыртатып,Бэтэгенэ тибим шытыртатып
ышлюха бит ууул дилэр.,ышлюха бит ууул дилэр.
"Синдэ шуннан чыккан инде,ебанашка","Синдэ шуннан чыккан инде,ебанашка"
кит на хуй шакши,кит на начар әйбер шакши
"Кутак курсе икан Син...,айме?","ямьсез сүз курсе икан Син...,айме?"
Главное берарсе кутенне секканда бугын тошмасен,Главное берарсе кутенне секканда бугын тошмасен
Шундый хуйня язасыз сез. Сезгэ узегезэ противно тугелме? ТАТАРЛАР? Кемнен кутенэн нарсэ чыга?,Шундый начар әйбер язасыз сез. Сезгэ узегезэ противно тугелме? ТАТАРЛАР? Кемнен кутенэн нарсэ чыга?
"И самый главный хатын кызлар яза бит,сезгэ ОЯТ былырга кирэк. Фу белэт . Сезнен очен ОЯТ бу","И самый главный хатын кызлар яза бит,сезгэ ОЯТ былырга кирэк. Фу белэт . Сезнен очен ОЯТ бу"
"Кызлар тишегеннән үләне аермый исерекме нәрсәдер иснәгәнме , күт тишегендә яла","Кызлар тишегеннән үләне аермый исерекме нәрсәдер иснәгәнме , күт тишегендә яла"
"Эшлэгез блэт,житэр","Эшлэгез блэт,житэр"
Жыен инвалид жырлар кутак башына олэгэ,Жыен инвалид жырлар ямьсез сүз башына олэгэ
аракы сорап заебал син белэт,аракы сорап заебал син белэт
"Петух гамбургский, админы алмашынган","Петух гамбургский, админы алмашынган"
Усырып утырам,Усырып утырам
кутак та ишлямим,ямьсез сүз та ишлямим
"Колакта каян бук булсын,сантый белат?","Колакта каян бук булсын,сантый белат?"
"Эшлэре юк пиздюкларнын,шуна сугышып йорилэр!","Эшлэре юк пиздюкларнын,шуна сугышып йорилэр!"
Бу актанышские курицынын админы пиздюк!,Бу актанышские курицынын админы пиздюк!
"Иди на хуй,орк тупорылый..!","Иди на начар әйбер,орк тупорылый..!"
сукалар кузгэ карап ыргыталар! авызларына или ыштаннарына тыгып шартлатсыннар инде чыдай алмагач!,сукалар кузгэ карап ыргыталар! авызларына или ыштаннарына тыгып шартлатсыннар инде чыдай алмагач!
"Мин бер кешене белэм, ул 4 пиранье агиделгэ жибэрде, мона кадэр алар аквариумда яшэгэн, теге пираньелар агиделдэ размножаться иться пиздиц безгэ!","Мин бер кешене белэм, ул 4 пиранье агиделгэ жибэрде, мона кадэр алар аквариумда яшэгэн, теге пираньелар агиделдэ размножаться иться пиздиц безгэ!"
"Наконец то Актаныш горли буген яшлек тирэсе тулган , пиздюкпатия барадыр новерное!)))","Наконец то Актаныш горли буген яшлек тирэсе тулган , пиздюкпатия барадыр новерное!)))"
"""Пиздец инде сез"" дип... Монда утыручыларнын ни гаебе бар? Ник безне сугэсен?","""бик начар хәл инде сез"" дип... Монда утыручыларнын ни гаебе бар? Ник безне сугэсен?"
"Остеге комментларынны укы, дибил! Гел немесларны яклап язгансын бит, иди пиздуй немесларын янына!","Остеге комментларынны укы, дибил! Гел немесларны яклап язгансын бит, иди пиздуй немесларын янына!"
Буген 1 мэктэптэ бер кыз кластташына сикерэ сугышалар теге кызга похуй бугай сикерэ бирешми МОЛОДЕЦ!!! Исемен генэ белмим языр инде.,Буген 1 мэктэптэ бер кыз кластташына сикерэ сугышалар теге кызга похуй бугай сикерэ бирешми МОЛОДЕЦ!!! Исемен генэ белмим языр инде.
Юкка гына эйтмилэр жэннэт эни аяк астында дип! Автор ты сука!,Юкка гына эйтмилэр жэннэт эни аяк астында дип! Автор ты сука!
"заибали уже,тегене ярамый,моны язасын,нигэ гел шундый типта.","заибали уже,тегене ярамый,моны язасын,нигэ гел шундый типта."
Уземэ килеп эйт эле шуны? Лично чырайга бэреп эйт! Шунда куренер кем пиздюк кем нет!,Уземэ килеп эйт эле шуны? Лично чырайга бэреп эйт! Шунда куренер кем пиздюк кем нет!
"Нәрсә син, уҗым бозавы, мине котыртасың? Нәрсә өсләтәсең?","Нәрсә син, уҗым бозавы, мине котыртасың? Нәрсә өсләтәсең?"
Пиздец егетлэр пошли. Оятыгыз бармы сезнен егетлэр?  Узегез килеп алсагыз ничегрэк булыр иде микэн?,бик начар хәл егетлэр пошли. Оятыгыз бармы сезнен егетлэр?  Узегез килеп алсагыз ничегрэк булыр иде микэн?
Кутак карап баргач шул була инде!!!,ямьсез сүз карап баргач шул була инде!!!
кешенекен тынла узеннекен эшлэ! калганнарын на**й пошли),кешенекен тынла узеннекен эшлэ! калганнарын на**й пошли)
Ал сабын хэм бау чыгып асылын сука!,Ал сабын хэм бау чыгып асылын сука!
"Егетлэр ойлэнешеп,э пюздюклар калган!","Егетлэр ойлэнешеп,э пюздюклар калган!"
"Еба... сэлэмэт булганына, доньяга туганына соен дэ, яп авызынны, нинди генэ авыртулар бн корэшучелэр юк, алар бит яшэргэ дип корэшэ, э син яшь башыннан, тормыштан туйдым дисен, егет кеше, хэр проблеманы чишэ белергэ тиеш, э сопли агызып утырырга тугел!!","Еба... сэлэмэт булганына, доньяга туганына соен дэ, яп авызынны, нинди генэ авыртулар бн корэшучелэр юк, алар бит яшэргэ дип корэшэ, э син яшь башыннан, тормыштан туйдым дисен, егет кеше, хэр проблеманы чишэ белергэ тиеш, э сопли агызып утырырга тугел!!"
"Әстәге!Монда язарга кирәкмени аны,сука!?","Әстәге!Монда язарга кирәкмени аны,сука!?"
Пи#де# актаныштагы кызларга егетлэр житми чтоли !!,Пи#де# актаныштагы кызларга егетлэр житми чтоли !!
Шундый белэтлэрне гомергэ анламадым инде мин.,Шундый белэтлэрне гомергэ анламадым инде мин.
"Алып атыгыз бу к.... сүзлекне!!!! Җүнлерәк әйбер куйсагыз,укагыз коеламы???","Алып атыгыз бу к.... сүзлекне!!!! Җүнлерәк әйбер куйсагыз,укагыз коеламы???"
шлюха ты последняя автор.ходай тагэлэ бар ул.кеше ирлэре белэн йоклаганда эчэгелэрен эйлэнеп чыкса ярар иде.!!!,шлюха ты последняя автор.ходай тагэлэ бар ул.кеше ирлэре белэн йоклаганда эчэгелэрен эйлэнеп чыкса ярар иде.!!!
"аборД блеать, нэрсэ ясатканынны дорес итеп яза да белмисен, э ботынны аерырга ойрэнгэнсен, бестолочь!","аборД блеать, нэрсэ ясатканынны дорес итеп яза да белмисен, э ботынны аерырга ойрэнгэнсен, бестолочь!"
"Уф чистый *аебали бу ГИАгыз белэн ЕГЭгыз, уф достали, барыгызда бирэчэксез бит инде! Админ ялыкмадынмы???","Уф чистый *аебали бу ГИАгыз белэн ЕГЭгыз, уф достали, барыгызда бирэчэксез бит инде! Админ ялыкмадынмы???"
"Кутак алтын булмасада ул чилэк кадэр булмый, саклаганнары сакласын синен то монда ни эшен бар?!","ямьсез сүз алтын булмасада ул чилэк кадэр булмый, саклаганнары сакласын синен то монда ни эшен бар?!"
"Нигэ сина картинка? Шалтыратып эйт, задрот тугелдер бит син","Нигэ сина картинка? Шалтыратып эйт, задрот тугелдер бит син"
"@user, претензий имеешь,пиши в личку..хули монда узенне эллэ кемгэ куймакчы буласын!!))","@user, претензий имеешь,пиши в личку..хули монда узенне эллэ кемгэ куймакчы буласын!!))"
ку...ак башлы динозавр  уйлап тапкан моны.татарлар андый тугел!!!,ку...ак башлы динозавр  уйлап тапкан моны.татарлар андый тугел!!!
"Пипец, нинди ЧП !!! Малай, машинага этне бэйлэп калдырыргадыр. ","Пипец, нинди ЧП !!! Малай, машинага этне бэйлэп калдырыргадыр. "
"Нэрсэ уйлыйсыгыз килэ шуны уйлагыз, дибиллар куп ул доньяда !","Нэрсэ уйлыйсыгыз килэ шуны уйлагыз, дибиллар куп ул доньяда !"
"Ну мин анлар идем, когда кеше булмаганда эйтсэлэр, дебилы!!!","Ну мин анлар идем, когда кеше булмаганда эйтсэлэр, дебилы!!!"
"@user, Сине еб*т мы ул, эйт менэ шуны?!","@user, Сине еб*т мы ул, эйт менэ шуны?!"
"@user, дорес эйтэсен!бары шлюхалар гына шулай эшли","@user, дорес эйтэсен!бары шлюхалар гына шулай эшли"
безне шлюха кебек йорисез дигэн буласыз э узегез жыен бабник!!!менэ юри купме кыз бн йоргэнегезне чутлап карагаз хэм комментариягэ языгыз!!!,безне шлюха кебек йорисез дигэн буласыз э узегез жыен бабник!!!менэ юри купме кыз бн йоргэнегезне чутлап карагаз хэм комментариягэ языгыз!!!
Ошаймы икэн утырмагыз на*уй мэжбури тугел бит!,Ошаймы икэн утырмагыз на*уй мэжбури тугел бит!
буген иртэн нинди ике дебил тышта шэрэ йогереп йори иде ул?!,буген иртэн нинди ике дебил тышта шэрэ йогереп йори иде ул?!
а ващпем актанышта яшьлэр бармы сон ул? быдлодан башка кэниш,а ващпем актанышта яшьлэр бармы сон ул? быдлодан башка кэниш
"Доньяда сволоч кешелэр куп!!! оятсызлар. Алар белэн дэ шулай булса нишлэрлэр микэн алар, э??!!!!","Доньяда сволоч кешелэр куп!!! оятсызлар. Алар белэн дэ шулай булса нишлэрлэр микэн алар, э??!!!!"
"“Кара әле син аны. Ул эштә, ә хатыны монда гыйшык-мыйшык уйнап ятамы? Ах кабахәтләр!”","“Кара әле син аны. Ул эштә, ә хатыны монда гыйшык-мыйшык уйнап ятамы? Ах кабахәтләр!”"
"Нәрсә карап каттыгыз, алыгыз бу шлюханы,туйны бозар өчен специально яллангандыр ул!","Нәрсә карап каттыгыз, алыгыз бу шлюханы,туйны бозар өчен специально яллангандыр ул!"
"Кутен сегелсен,жэллэп эйтуем тугел!!!!","Кутен сегелсен,жэллэп эйтуем тугел!!!!"
вот сина мотиваторлар!!!!!    Жопу подними дигэннэр! Ешь мало дигэннэр!!! Сразу яшисенлэрен килеп киттеме??,вот сина мотиваторлар!!!!!    Жопу подними дигэннэр! Ешь мало дигэннэр!!! Сразу яшисенлэрен килеп киттеме??
"ансы да бар инде. кызларга к...к, малайларга б...к кирак инде !!!","ансы да бар инде. кызларга к...к, малайларга б...к кирак инде !!!"
уродка диеп инде аллах нинди бит биргэн бит!,уродка диеп инде аллах нинди бит биргэн бит!
"лучше барып кайтасын,чем дибил справкасы алганчы!!!","лучше барып кайтасын,чем дибил справкасы алганчы!!!"
"уф,нинди тупой эйберлэр язасыз сез,э?","уф,нинди тупой эйберлэр язасыз сез,э?"
"Нык шэп кызны югалткансын бит син,ничек укенмэссен инде мона,придурок!","Нык шэп кызны югалткансын бит син,ничек укенмэссен инде мона,придурок!"
"вот придурок.кыз булып тусан,синдэ жэллисен аны!","вот придурок.кыз булып тусан,синдэ жэллисен аны!"
"Булат, ты мне тож рот не затыкай тут кысылырга или юк яме","Булат, ты мне тож рот не затыкай тут кысылырга или юк яме"
вот актаныш халкы кабахат ул!!!,вот актаныш халкы кабахат ул!!!
"Экенренерэк этеп булмый микэн,  лучше урамга вообще кермэсен иде ялкау куршелэрнен урамга ыргыткан карын оядэ китэ ,оядэ китэ! Заебал!!!","Экенренерэк этеп булмый микэн,  лучше урамга вообще кермэсен иде ялкау куршелэрнен урамга ыргыткан карын оядэ китэ ,оядэ китэ! Заебал!!!"
"Пи*ец блин, барыгыз да узенэ эйтегез эйтэсе рэхмэтегезне, сузегезне","Пи*ец блин, барыгыз да узенэ эйтегез эйтэсе рэхмэтегезне, сузегезне"
ул хули нэрсэгэ язып торасын сон син аны?кеше колкесе.туерлык нэрсэ кургэнен бар сон синен!,ул хули нэрсэгэ язып торасын сон син аны?кеше колкесе.туерлык нэрсэ кургэнен бар сон синен!
"""Курэсызмы? Нигэдэр сезнен теория эшлями... Ул сойлэши нэрсэ ул быдло тугел.""","""Курэсызмы? Нигэдэр сезнен теория эшлями... Ул сойлэши нэрсэ ул быдло тугел."""
"Французский поцелуй дип атала ул, э телне авызга тыгу дип тугел ебнврт!)))","Французский поцелуй дип атала ул, э телне авызга тыгу дип тугел ебнврт!)))"
"Купме сатырга була инде ул тэгэрмэчлэрне,э? Заебали,честно!","Купме сатырга була инде ул тэгэрмэчлэрне,э? Заебали,честно!"
"Актанышта кем матовый кара тостэге бмвда йори ул?блин,он ох*енен)чувак,береги его;)","Актанышта кем матовый кара тостэге бмвда йори ул?блин,он ох*енен)чувак,береги его;)"
болары идиоткалар бит...идиотлар йорми дорес!!))паахах,болары идиоткалар бит...идиотлар йорми дорес!!))паахах
ул тапкан кешедэ сина шул ук гугл или яндекстан карап язып бирэ бит инде епутпаймайть жан,ул тапкан кешедэ сина шул ук гугл или яндекстан карап язып бирэ бит инде епутпаймайть жан
Куткэ типкэн иде даже кесэдэге ачкыч та кэкерэйгэн иде!,Куткэ типкэн иде даже кесэдэге ачкыч та кэкерэйгэн иде!
ахырга кадэр укып бетерэ алмадым!!!!! монда утыручыларнын кубесенен баш миендэ ниндидер сэбэплэр аркасында соры матдэ житми,ахырга кадэр укып бетерэ алмадым!!!!! монда утыручыларнын кубесенен баш миендэ ниндидер сэбэплэр аркасында соры матдэ житми
Актанышта шул кеше чэйнэудэн башка берни белмилэр ахрысы.,Актанышта шул кеше чэйнэудэн башка берни белмилэр ахрысы.
"Кеше бэхетендэ узеннекен този алмыйсын!анламыйм шундый хатыннарны,наверное они дурыыыыы.","Кеше бэхетендэ узеннекен този алмыйсын!анламыйм шундый хатыннарны,наверное они дурыыыыы."
"кем эйтмешли, х_йня ул-тазалык булсын!)","кем эйтмешли, х_йня ул-тазалык булсын!)"
Монда елмаю тугел астына Т...п качарсын!,Монда елмаю тугел астына Т...п качарсын!
"актанышта кызларны обсирать итмэгэн берэр ""егет"" жаны бармы ул?:)","актанышта кызларны обсирать итмэгэн берэр ""егет"" жаны бармы ул?:)"
Бар даже кызлар пацан не вьебаемый вариантка баскан,Бар даже кызлар пацан не вьебаемый вариантка баскан
нацистлар алар зәңгәрләр кебек!шул эшләрен генә эшли беләләр!,нацистлар алар зәңгәрләр кебек!шул эшләрен генә эшли беләләр!
Дурак булырга кирэк бу яштэ ойлэнергэ!!!,Дурак булырга кирэк бу яштэ ойлэнергэ!!!
"бер дэ килешми егет кешегэ болай итеп манка агызып утыру! так и хочется сказать ""соберись, тряпка!"" ","бер дэ килешми егет кешегэ болай итеп манка агызып утыру! так и хочется сказать ""соберись, тряпка!"" "
"Реально, нинди туфта нагонять итә башладыгыз сез?! Минемчә бу уже дибилизм","Реально, нинди туфта нагонять итә башладыгыз сез?! Минемчә бу уже дибилизм"
"@user, вот ппц вы...мин лучше знаю спорить итеп утырмагыз эле!!! Эйтеп торам бит мин гел кайтам мослимгэ и яттан белэм ботен юлларны!!!","@user, вот ппц вы...мин лучше знаю спорить итеп утырмагыз эле!!! Эйтеп торам бит мин гел кайтам мослимгэ и яттан белэм ботен юлларны!!!"
"ничек шундый кеше матур булсын инде. и главное, нафига те пьяница?!","ничек шундый кеше матур булсын инде. и главное, нафига те пьяница?!"
ну значит егетлэр узегез фахишэлэрне свиданиягэ чакырасыз))нормальный кыз янында йорегез!!,ну значит егетлэр узегез фахишэлэрне свиданиягэ чакырасыз))нормальный кыз янында йорегез!!
"“Бетте!” – дип сөенмә, тиран!","“Бетте!” – дип сөенмә, тиран!"
"""крымнаш""истлар фикерләрне бетерәләр. оятсызлар!","""крымнаш""истлар фикерләрне бетерәләр. оятсызлар!"
"кызлар, ну нигэ сез шулай итеп убешеп фотога тошэсез??? ярар эле лесбианкалар булсагыз, тик сез сезгэ лесбианка дип эйткэч ачуыгыз чыга, матур тугел бит ул!!!! шакшылар!!","кызлар, ну нигэ сез шулай итеп убешеп фотога тошэсез??? ярар эле лесбианкалар булсагыз, тик сез сезгэ лесбианка дип эйткэч ачуыгыз чыга, матур тугел бит ул!!!! шакшылар!!"
"улэсе кеше сорап тормый, тота да улэ ул, дуры!","улэсе кеше сорап тормый, тота да улэ ул, дуры!"
Дурак мы сон син ?! кемгэ хатын диеп эйттен сон?,Дурак мы сон син ?! кемгэ хатын диеп эйттен сон?
"Гел керегез, поступать итегез(заебали уже)!!!","Гел керегез, поступать итегез(заебали уже)!!!"
охшаш тугел нифигада!кеше бн хайванны охшатып утырмагыз инде монда!,охшаш тугел нифигада!кеше бн хайванны охшатып утырмагыз инде монда!
"ж,унле ответ котэсенме?эйтэм мин сина аны.дура син белденме!кеше бэхетен аласын!","ж,унле ответ котэсенме?эйтэм мин сина аны.дура син белденме!кеше бэхетен аласын!"
"чынлап яратмый ул сине, яратса китмэс иде аннан нинди эти кеше була алсын, хайван ул !","чынлап яратмый ул сине, яратса китмэс иде аннан нинди эти кеше була алсын, хайван ул !"
Минем авызны ябырга кем булдын эле???,Минем авызны ябырга кем булдын эле???
Актаныш гаишниклары вообще оборзеть итэ башлаганнар почмак саен басып торалар,Актаныш гаишниклары вообще оборзеть итэ башлаганнар почмак саен басып торалар
"блин,ошамаса карамагыз инде тэмаам!!!! ","блин,ошамаса карамагыз инде тэмаам!!!! "
"Турслетта бер *уй кызларга бэйлэнеп йоргэн, шул егетне языгыз эле пож.  кем исемле?","Турслетта бер *уй кызларга бэйлэнеп йоргэн, шул егетне языгыз эле пож.  кем исемле?"
Тэмэке тарта торган кызлар - фахишэ!!!,Тэмэке тарта торган кызлар - фахишэ!!!
Нигә соң сез рәхәтләнеп авыз тутырып татарча сөйләшмисез???,Нигә соң сез рәхәтләнеп авыз тутырып татарча сөйләшмисез???
ой блэээ.. не знаешь тыр инде!,ой блэээ.. не знаешь тыр инде!
Татар түгел димә - башың ватармын!,Татар түгел димә - башың ватармын!
"Синен башын эшли мы? Мин башламадым, эммэ Ислам дине безнен миллэтэбезгэ сенгэн! Мин айттем яхудлэр Палестинадагы мосельманнарны утерэляр","Синен башын эшли мы? Мин башламадым, эммэ Ислам дине безнен миллэтэбезгэ сенгэн! Мин айттем яхудлэр Палестинадагы мосельманнарны утерэляр"
"ооо минем братан!!! миндэ дэ шулай гына язылган, хрен поймешь. Эле узем дэ бутала башладым кем икэнен белмим :D","ооо минем братан!!! миндэ дэ шулай гына язылган, хрен поймешь. Эле узем дэ бутала башладым кем икэнен белмим :D"
"- Убырлы карчык дидем мин сиңа, ишетмисең дә мени?! Юньләп киенә белмисең, кеше арасында үзеңне тота белмисең, аралашмыйсың, җен карчыгы кебек бер почмакта утырасың! Менә шул! ","- Убырлы карчык дидем мин сиңа, ишетмисең дә мени?! Юньләп киенә белмисең, кеше арасында үзеңне тота белмисең, аралашмыйсың, җен карчыгы кебек бер почмакта утырасың! Менә шул! "
"агар минем песи шулай карап торса , башын тоер идем.))","агар минем песи шулай карап торса , башын тоер идем.))"
"Мина наезд ясау кирэкми монда, просто язганда ни язганыгызны уйлап языгыз яппашмайтьлар!","Мина наезд ясау кирэкми монда, просто язганда ни язганыгызны уйлап языгыз яппашмайтьлар!"
Егетлэр андый манкортларга тел арам итмагез!,Егетлэр андый манкортларга тел арам итмагез!
"Тора бара ул аракы эчеп, йоз нурын югалтып, чучка итен ашап урыс балалары устерэчэк купме сойлэсэн дэ!","Тора бара ул аракы эчеп, йоз нурын югалтып, артык юан итен ашап урыс балалары устерэчэк купме сойлэсэн дэ!"
шуларнын купчелеге гел выебываться итэлэр!!,шуларнын купчелеге гел выебываться итэлэр!!
"Пехота дип колдермэ, ул пехотаны беспилотнык бн бомбить итмичэ хуй сугыша сша","Пехота дип колдермэ, ул пехотаны беспилотнык бн бомбить итмичэ начар әйбер сугыша сша"
Мин чалбар эченнэн подштанник киям и эле алай да кутем ката! Шаккатам бу кызларга)),Мин чалбар эченнэн подштанник киям и эле алай да кутем ката! Шаккатам бу кызларга))
алар гайлэ бутаучы хэсис гайбэтчелэр!!!кутак та белмилэр алар!,алар гайлэ бутаучы хэсис гайбэтчелэр!!!ямьсез сүз та белмилэр алар!
чып чын тиле пост !!!,чып чын тиле пост !!!
"и вообще манкасы кипмэгэн кызларны алып атын,тормыш кургэн кешедэй сойлэнеп утыралар!!!","и вообще манкасы кипмэгэн кызларны алып атын,тормыш кургэн кешедэй сойлэнеп утыралар!!!"
"Сатучыларны, магазиннын хужасын, санэпидларны сук! Пиздец инде син...","Сатучыларны, магазиннын хужасын, санэпидларны сук! бик начар хәл инде син..."
"Гел немесларны яклап язгансын бит, иди пиздуй немесларын янына!","Гел немесларны яклап язгансын бит, иди пиздуй немесларын янына!"
"сезгэ похуй тугелме мин нэрсэ,кемгэ язам.ошамый икэн укымагыз,коментлар язмагыз!!!!","сезгэ похуй тугелме мин нэрсэ,кемгэ язам.ошамый икэн укымагыз,коментлар язмагыз!!!!"
"анлыйм шутка шутка инде,но бл..ть серъезный постта да нигэ нэрсэдер возникать итэргэ...","анлыйм шутка шутка инде,но бл..ть серъезный постта да нигэ нэрсэдер возникать итэргэ..."
"Кеше кулы белән кеше тукмама, иблис! ","Кеше кулы белән кеше тукмама, иблис! "
атам да утерэм лиж бы кермэ жаныма уз презикбелэн,атам да утерэм лиж бы кермэ жаныма уз презикбелэн
Тупойский сороу бирэлэр : Иртэгэ нэрсэдэн пробный гиа ул??? Как будто шуны белми!,Тупойский сороу бирэлэр : Иртэгэ нэрсэдэн пробный гиа ул??? Как будто шуны белми!
Бер хатын гажет куеп беренче этажа бер кв-ра ишек тобенэ тычып китэ икэн.,Бер хатын гажет куеп беренче этажа бер кв-ра ишек тобенэ тычып китэ икэн.
"Хозяйка жекэ барып эйткэн,анан кунагыбыз хатын барып кв-рага саклап торып,теге тычкак хатынын битенэ теге букны сылыган. ","Хозяйка жекэ барып эйткэн,анан кунагыбыз хатын барып кв-рага саклап торып,теге тычкак хатынын битенэ теге букны сылыган. "
Ул егетнен кукэй шарикларын ишеккэ кысасы бар!,Ул егетнен кукэй шарикларын ишеккэ кысасы бар!
"Татар егетләре була торып,оялмыйча урысча язалар,кара инде син моны!!!кит индеее","Татар егетләре була торып,оялмыйча урысча язалар,кара инде син моны!!!кит индеее"
Ния бу группанын авасында гел песи тора ул? Ул дурацки песилэрне куймагыз эле зинхар очен? Женем сойми ул песилэрне.,Ния бу группанын авасында гел песи тора ул? Ул дурацки песилэрне куймагыз эле зинхар очен? Женем сойми ул песилэрне.
Усыра Усыра контакта утырам белэт!!,Усыра Усыра контакта утырам белэт!!
Кем кемне сектерер икән ул сине ме илисин аны мы?! моны туйдан соң белсәң генә...:DDD,Кем кемне сектерер икән ул сине ме илисин аны мы?! моны туйдан соң белсәң генә...:DDD
Син нинди вопрос язганынны кузен курэме ул?тупой вопрослар язып ятма,Син нинди вопрос язганынны кузен курэме ул?тупой вопрослар язып ятма
Таза кызларны сегергэ яратмыйм инде блээ фуэ!,Таза кызларны сегергэ яратмыйм инде блээ фуэ!
кукэен катыр бу суыкта!!!,кукэен катыр бу суыкта!!!
ул песилэрнен хужаларын узлэрен банкы эченэ тыгып куярга кирэк!!! От сволачлар!!,ул песилэрнен хужаларын узлэрен банкы эченэ тыгып куярга кирэк!!! От сволачлар!!
"@user, ""урыс бугын ашаган"" - бездэ сине кебек кешлэргэ шулай этэлэр. Жертва зомбоящика","@user, ""урыс бугын ашаган"" - бездэ сине кебек кешлэргэ шулай этэлэр. Жертва зомбоящика"
Әнә фахишәләр группасына кереп ата-ана динен мыскыл итеп-дан казаныгыз-Аллаһы тәгаләдән курыкмасагыз!!!,Әнә фахишәләр группасына кереп ата-ана динен мыскыл итеп-дан казаныгыз-Аллаһы тәгаләдән курыкмасагыз!!!
"зинһар очен  Татарча язсан татарча  яз, ә  русча  язсан русча яз...","зинһар очен  Татарча язсан татарча  яз, ә  русча  язсан русча яз..."
"Борис Ельсин алкаш таратты Россияне сатты эчте, Путин анын артыннан купме тырышты , бастырды тырыша хэм тырачакта!","Борис Ельсин алкаш таратты Россияне сатты эчте, Путин анын артыннан купме тырышты , бастырды тырыша хэм тырачакта!"
"Тьфу тебя, гыйбрэт!Сина машинасы кирэкми, акчасы кирэк анын!","Тьфу тебя, гыйбрэт!Сина машинасы кирэкми, акчасы кирэк анын!"
"Тимур, ботен кызларда андый исэр тугелбит,хэр бер егетенэ бирергэ!!!","Тимур, ботен кызларда андый исэр тугелбит,хэр бер егетенэ бирергэ!!!"
Ахах  куркыта гына ул!! Не ссы маруся,Ахах  куркыта гына ул!! Не ссы маруся
"Мда,манкортлар жыела башлады!","Мда,манкортлар жыела башлады!"
ужас мондый кукушкага бала тугел песи дэ бирергэ ярамый!,ужас мондый кукушкага бала тугел песи дэ бирергэ ярамый!
"Наобарот мужиклар сатып ала аны,укымыйча да даже,ума не хватает уз башы бн бирергэ!","Наобарот мужиклар сатып ала аны,укымыйча да даже,ума не хватает уз башы бн бирергэ!"
"Уффф...задолбали инде!!монын бн танышасым килэ, тегенен бн!","Уффф...задолбали инде!!монын бн танышасым килэ, тегенен бн!"
ул усырмасыннар очен каплаган!!!)),ул усырмасыннар очен каплаган!!!))
"какие мишары, ВАДИМ?- әлдә урыстан сраганыбыз юк кемне кәрдәш итеп санарга! кит бар моннан,  колакка керми торган сүзләр сөйләмә!!","какие мишары, ВАДИМ?- әлдә урыстан сраганыбыз юк кемне кәрдәш итеп санарга! кит бар моннан,  колакка керми торган сүзләр сөйләмә!!"
"Иии, шайтан алгыры.Кайда йөрдең син чукынчык т-ре? !","Иии, шайтан алгыры.Кайда йөрдең син чукынчык т-ре? !"
электэн кучеп килгэн ике баланын берсенеке юкка чыга. экэмээээээт. туземлек калмады.,электэн кучеп килгэн ике баланын берсенеке юкка чыга. экэмээээээт. туземлек калмады.
ай элек секкэн идем бер тазаны калтырый калтырый кочкэ берне куйдым!мин эйтэм бутэн лыкын булсам да менмим нах остенэ:-Dанон инде конечно братуха,ай элек секкэн идем бер тазаны калтырый калтырый кочкэ берне куйдым!мин эйтэм бутэн лыкын булсам да менмим нах остенэ:-Dанон инде конечно братуха
мин эйтэм бутэн лыкын булсам да менмим нах остенэ:-D,мин эйтэм бутэн лыкын булсам да менмим нах остенэ:-D
"Минем белэн бер булмэдэ яшэуче кыз улеп Земфираны ярата. Э мин аны курэалмыыыыыйм!!! фууууу.  ничек компрамисс табарга сон, ээ??!","Минем белэн бер булмэдэ яшэуче кыз улеп Земфираны ярата. Э мин аны курэалмыыыыыйм!!! фууууу.  ничек компрамисс табарга сон, ээ??!"
бу группа телэсэ нэрсэ язуда берэр кайчан туктыйлармы ул???бесит инде,бу группа телэсэ нэрсэ язуда берэр кайчан туктыйлармы ул???бесит инде
бер белмэгэн кеше бн сп да куя башласан индеее...)),бер белмэгэн кеше бн сп да куя башласан индеее...))
